Machine_name,Status,DTTM,Even_type,Remark
Site2-FICO#03,FINISHED,2021/7/1 17:29,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
Site2-FICO#05,FINISHED,2021/7/1 17:29,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
OB1F_FICO#08,FINISHED,2021/7/1 17:10,48.0,SAFETYPIN ACTIVATED LASER1: 2S11/12
OB1F_FICO#08,ALARM,2021/7/1 17:10,Begin Repair,
OB1F_FICO#08,STARTED,2021/7/1 17:10,,
OB1F_FICO#08,FINISHED,2021/7/1 17:12,73.0,SAFETY-PIN ERROR PRESS1: 2S12
OB1F_FICO#08,ALARM,2021/7/1 17:12,Begin Repair,
OB1F_FICO#08,MACHINE,2021/7/1 17:12,,
OB1F_FICO#08,FINISHED,2021/7/1 17:13,MA,
OB1F_FICO#08,MACHINE,2021/7/1 17:13,,
OB1F_FICO#08,STARTED,2021/7/1 17:13,,
OB1F_FICO#08,STARTED,2021/7/1 17:26,,
OB1F_FICO#08,FINISHED,2021/7/1 17:27,MA,
OB1F_FICO#08,STARTED,2021/7/1 17:28,,
OB1F_FICO#11,STARTED,2021/7/1 17:17,,
Site2-FICO#05,ALARM,2021/7/1 17:31,Begin Repair,
OB1F_FICO#03,FINISHED,2021/7/1 17:27,28.0,HOME SENSOR BLOCKED PRESS1: 3S07
Site2-FICO#02,ALARM,2021/7/1 17:32,Begin Repair,
Site2-FICO#02,STARTED,2021/7/1 17:32,,
Site2-FICO#02,FINISHED,2021/7/1 17:32,72.0,TRAY NOT CENTERED TRAY OFFLOADER
Site2-FICO#02,ALARM,2021/7/1 17:32,Begin Repair,
Site2-FICO#02,STARTED,2021/7/1 17:32,,
Site2-FICO#03,ALARM,2021/7/1 17:35,Begin Repair,
Site2-FICO#03,STARTED,2021/7/1 17:35,,
OB1F_FICO#11,MACHINE,2021/7/1 17:25,,
OB1F_FICO#02,FINISHED,2021/7/1 17:27,MA,
OB1F_FICO#02,MACHINE,2021/7/1 17:27,,
Site2-FICO#06,FINISHED,2021/7/1 17:32,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
Site2-FICO#06,ALARM,2021/7/1 17:35,Begin Repair,
Site2-FICO#06,STARTED,2021/7/1 17:35,,
Site2-FICO#06,FINISHED,2021/7/1 17:35,73.0,TRAY NOT AT UNLOAD POSITION TUBE/TRAY OFFLOADER
Site2-FICO#06,ALARM,2021/7/1 17:35,Begin Repair,
Site2-FICO#05,STARTED,2021/7/1 17:32,,
Site2-FICO#05,FINISHED,2021/7/1 17:35,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
OB1F_FICO#02,MACHINE,2021/7/1 17:27,,
OB1F_FICO#02,STARTED,2021/7/1 17:28,,
