serial,log_datetime,machine_name,event_type,status_name,error_code,error_name,stopped_reason
7060232,2021/7/1 17:08,OB1F_FICO#02,STATUS,STARTED,,,
7060243,2021/7/1 17:09,OB1F_FICO#02,ERROR,ERROR,46,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,
7060245,2021/7/1 17:09,OB1F_FICO#02,STATUS,FINISHED,,,Auto
7060272,2021/7/1 17:10,OB1F_FICO#02,ALARM,Begin Repair,,,
7060282,2021/7/1 17:10,OB1F_FICO#02,STATUS,STARTED,,,
7060293,2021/7/1 17:15,OB1F_FICO#02,STATUS,FINISHED,,,MA
7060325,2021/7/1 17:15,OB1F_FICO#02,STATUS,STARTED,,,
7066399,2021/7/1 17:29,OB1F_FICO#04,ERROR,ERROR,131,UNEXPECTED PRODUCT AT BUFFER SEPARATOR: BUFFER VISION,
7066401,2021/7/1 17:29,OB1F_FICO#04,STATUS,FINISHED,,,Auto
7066427,2021/7/1 17:30,OB1F_FICO#04,ALARM,Begin Repair,,,
7066437,2021/7/1 17:30,OB1F_FICO#04,STATUS,STARTED,,,
7074618,2021/7/1 17:17,OB1F_FICO#07,ALARM,Begin Repair,,,
7074628,2021/7/1 17:17,OB1F_FICO#07,STATUS,STARTED,,,
7074641,2021/7/1 17:21,OB1F_FICO#07,STATUS,FINISHED,,,Auto
7074700,2021/7/1 17:24,OB1F_FICO#07,MACHINE,State: Specific Running Continuous,,,
7074706,2021/7/1 17:26,OB1F_FICO#07,STATUS,FINISHED,,,Auto
7078933,2021/7/1 17:28,OB1F_FICO#07,STATUS,STARTED,,,
7080763,2021/7/1 17:07,OB1F_FICO#03,STATUS,FINISHED,,,Auto
7080793,2021/7/1 17:09,OB1F_FICO#03,STATUS,STARTED,,,
7080801,2021/7/1 17:10,OB1F_FICO#03,STATUS,FINISHED,,,MA
7080823,2021/7/1 17:13,OB1F_FICO#03,STATUS,STARTED,,,
7085892,2021/7/1 17:15,Site2-FICO#06,ALARM,Begin Repair,,,
7085902,2021/7/1 17:15,Site2-FICO#06,STATUS,STARTED,,,
7085909,2021/7/1 17:18,Site2-FICO#06,ERROR,ERROR,72,TRAY NOT CENTERED TRAY OFFLOADER,
7085911,2021/7/1 17:18,Site2-FICO#06,STATUS,FINISHED,,,Auto
7085925,2021/7/1 17:19,Site2-FICO#06,ALARM,Begin Repair,,,
7085936,2021/7/1 17:19,Site2-FICO#06,STATUS,STARTED,,,
7085959,2021/7/1 17:23,Site2-FICO#06,STATUS,FINISHED,,,Auto
7085980,2021/7/1 17:24,Site2-FICO#06,STATUS,STARTED,,,
7088827,2021/7/1 17:05,MB4F_FICO#04,ERROR,ERROR,73,SAFETY-PIN ERROR PRESS1: 2S12,
7088829,2021/7/1 17:05,MB4F_FICO#04,STATUS,FINISHED,,,Auto
7104012,2021/7/1 17:24,Site2-FICO#05,ERROR,ERROR,200,OFFLOAD HEAD PUSHER BLOCKED SEPARATOR,
7104014,2021/7/1 17:24,Site2-FICO#05,STATUS,FINISHED,,,Auto
7104031,2021/7/1 17:24,Site2-FICO#05,ALARM,Begin Repair,,,
7104043,2021/7/1 17:24,Site2-FICO#05,STATUS,STARTED,,,
7110810,2021/7/1 17:16,Site2-FICO#02,ALARM,Begin Repair,,,
7110822,2021/7/1 17:16,Site2-FICO#02,STATUS,STARTED,,,
7110831,2021/7/1 17:17,Site2-FICO#02,STATUS,FINISHED,,,Auto
7110852,2021/7/1 17:18,Site2-FICO#02,STATUS,STARTED,,,
7110871,2021/7/1 17:25,Site2-FICO#02,ERROR,ERROR,100,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER,
7110873,2021/7/1 17:25,Site2-FICO#02,STATUS,FINISHED,,,Auto
7110876,2021/7/1 17:25,Site2-FICO#02,ERROR,ERROR,200,OFFLOAD HEAD PUSHER BLOCKED SEPARATOR,
